Number of Features,Eliminated Feature,MSE,MAE,RMSE,MAPE,SMAPE
42,SMA,0.0002029638753933,0.003515311304197,0.0142465390672022,5235873279.074864,5235873279.074864
42,3. low,0.000203537263597,0.003521109413065,0.0142666486463019,5246700374.675646,5246700374.675646
41,SlowK,0.0002039454454654,0.0034972044749544,0.0142809469386822,5235873279.075031,5235873279.075031
42,DX,0.0002039571578267,0.0035360325677058,0.0142813570022857,5235873279.0749655,5235873279.0749655
41,RSI,0.0002042415713596,0.0034897902733003,0.0142913110441159,5235873279.074972,5235873279.074972
41,FastK,0.0002043538586933,0.0035066289653356,0.0142952390219016,5235873279.0750675,5235873279.0750675
42,MAMA,0.000204829944516,0.0035151206614087,0.0143118812360951,5235873279.074826,5235873279.074826
40,FAMA,0.0002049218645645,0.0034971260327629,0.0143150921954622,5235873279.074874,5235873279.074874
41,FAMA,0.0002051921034751,0.0034877071657648,0.0143245280367315,5235873279.075,5235873279.075
42,MACD,0.0002053193803109,0.0035254911530213,0.0143289699668506,5235873279.07486,5235873279.07486
42,KAMA,0.0002060509892838,0.0035625465451911,0.0143544762803766,5058308481.574884,5058308481.574884
41,MACD,0.0002062672738415,0.0035101903883697,0.014362008001721,5235873279.075066,5235873279.075066
41,KAMA,0.0002064182586856,0.0035436683582339,0.0143672634376104,5058308481.57503,5058308481.57503
42,FAMA,0.0002066096326649,0.0035212809301198,0.0143739219653135,5235873279.0748415,5235873279.0748415
42,ROCR,0.000206704493061,0.0035105466461618,0.0143772213261495,5235873279.074891,5235873279.074891
41,MAMA,0.000206912755099,0.0034952719737678,0.0143844622804965,5235873279.07497,5235873279.07497
42,Real Lower Band,0.0002070036005857,0.003490604468489,0.0143876196983977,5235873279.07488,5235873279.07488
42,Chaikin A/D,0.0002070286161371,0.0035396950851041,0.0143884890150807,5235873279.074984,5235873279.074984
42,MFI,0.0002070597688042,0.0035370003200883,0.0143895715295587,5235873279.074941,5235873279.074941
41,MACD_Signal,0.0002079986606327,0.0035181188005183,0.0144221586675775,5235873279.075123,5235873279.075123
40,Real Lower Band,0.0002083027507739,0.0035296340482958,0.0144326972799241,5235873279.075139,5235873279.075139
41,MFI,0.0002083084750336,0.0035120195640011,0.0144328955872928,5235873279.074929,5235873279.074929
31,WILLR,0.0002085443242229,0.0034532226713809,0.0144410638189495,5628606580.75146,5628606580.75146
41,3. low,0.0002085846406426,0.0035261672690455,0.0144424596465633,5246700374.675839,5246700374.675839
42,PLUS_DI,0.0002087030232969,0.0034983161454466,0.0144465574894832,5235873279.0748005,5235873279.0748005
28,TRIX,0.0002087701814389,0.0034397826548579,0.0144488816674144,5628606580.751313,5628606580.751313
36,HT_DCPHASE,0.0002088043616951,0.0035136271917201,0.0144500644183752,5246700374.675896,5246700374.675896
34,Real Upper Band,0.0002088965484912,0.0034960866033116,0.0144532539066885,5628606580.751686,5628606580.751686
40,MACD,0.0002090976191265,0.003523268022922,0.0144602081287417,5235873279.074894,5235873279.074894
40,MAMA,0.000209157132093,0.0035209723987327,0.0144622658008023,5235873279.074878,5235873279.074878
40,MACD_Signal,0.0002093112528635,0.0035229788869494,0.0144675931952592,5235873279.074937,5235873279.074937
42,MACD_Signal,0.0002094302383605,0.003540966635505,0.0144717047496324,5235873279.074941,5235873279.074941
40,Unnamed: 0,0.0002097452028967,0.0035148497111213,0.0144825827426158,5235873279.074822,5235873279.074822
25,NATR,0.0002098108605301,0.0034487796493168,0.014484849344407,5653451757.628372,5653451757.628372
42,MINUS_DI,0.0002098441806521,0.0035099195502818,0.0144859994702518,5235873279.074888,5235873279.074888
37,3. low,0.0002099500729869,0.0035053165987718,0.0144896539981803,5246700374.675675,5246700374.675675
37,MIDPRICE,0.0002099707153835,0.0035513132905713,0.0144903662956999,5235873279.074913,5235873279.074913
25,OBV,0.0002106058139436,0.0034136319169439,0.0145122642597084,5628606580.7511215,5628606580.7511215
37,MOM,0.0002106576655843,0.0035143116214377,0.0145140506263527,5235873279.074896,5235873279.074896
26,LEAD SINE,0.000210773184641,0.0034499234129145,0.0145180296404512,5628606580.751478,5628606580.751478
26,RSI,0.0002109067660898,0.0034460673898326,0.0145226294482036,5628606580.751315,5628606580.751315
42,NATR,0.0002110831141578,0.0035307274537481,0.014528699671953,5235873279.07494,5235873279.07494
37,ROCR,0.0002111101666667,0.0035256168063658,0.0145296306445382,5235873279.074941,5235873279.074941
37,ROC,0.0002111795451951,0.0035249838837885,0.0145320179326583,5235873279.074933,5235873279.074933
42,ATR,0.0002112268353025,0.0035346379272796,0.0145336449420833,5235873279.074948,5235873279.074948
34,WILLR,0.0002112392567539,0.0035297211083327,0.0145340722701515,5246700374.676095,5246700374.676095
42,TRIX,0.0002113020102287,0.0035312958982072,0.0145362309498982,5235873279.074938,5235873279.074938
36,RSI,0.0002114097966713,0.0035185048287493,0.0145399379871915,5246700374.675936,5246700374.675936
37,TRIX,0.000211422484269,0.003526083955024,0.0145403742822905,5235873279.074918,5235873279.074918
25,SMA_SMA3,0.0002116799983983,0.0033996768793676,0.0145492267285376,5628606580.750962,5628606580.750962
36,PPO,0.0002116986263175,0.0035252935265936,0.0145498668831547,5246700374.675974,5246700374.675974
33,MAMA,0.0002116994796557,0.0034900049557914,0.0145498962077313,5628606580.751618,5628606580.751618
33,KAMA,0.0002117477339025,0.0034846390803547,0.0145515543466154,5628606580.751444,5628606580.751444
36,APO,0.0002119009447823,0.0035267980912017,0.0145568178109894,5246700374.675976,5246700374.675976
40,KAMA,0.0002119071983282,0.0035668281125276,0.0145570326072388,5058308481.574906,5058308481.574906
36,FastK,0.0002119247559306,0.0035127912041142,0.0145576356572988,5246700374.675969,5246700374.675969
26,APO,0.0002119648915121,0.0034406792093311,0.0145590140982177,5628606580.751302,5628606580.751302
42,SlowK,0.0002120086456156,0.0035206584295282,0.014560516667194,5235873279.074824,5235873279.074824
41,MACD_Hist,0.0002121924503727,0.0035388626878513,0.0145668270523389,5235873279.0751095,5235873279.0751095
42,ROC,0.0002122244375209,0.0035198734429958,0.0145679249559073,5235873279.074794,5235873279.074794
31,TRIX,0.0002122633709024,0.0034913012407454,0.0145692611652892,5628606580.751721,5628606580.751721
36,LEAD SINE,0.0002122994165788,0.0035279859606816,0.0145704981582265,5246700374.67606,5246700374.67606
28,SAR,0.0002123630238172,0.0034068261326326,0.0145726807354459,4978860389.407938,4978860389.407938
42,MOM,0.0002123759559306,0.0035242825151952,0.014573124439552,5235873279.074805,5235873279.074805
41,MOM,0.0002125398096393,0.0035294522205334,0.014578745132533,5235873279.075062,5235873279.075062
26,SMA_SMA3,0.0002127170918791,0.0034290261105501,0.014584824026333,5628606580.751175,5628606580.751175
43,TRIMA,0.0002127584701461,0.0035669745221695,0.0145862424957947,5235873279.074991,5235873279.074991
43,SMA,0.0002127693409336,0.0035606351728125,0.0145866151294149,5235873279.074964,5235873279.074964
42,FastK,0.0002127889619632,0.0035286025714495,0.0145872876835714,5235873279.074886,5235873279.074886
40,MACD_Hist,0.0002127901833459,0.0035289630265906,0.0145873295481368,5235873279.07489,5235873279.07489
43,MACD_Hist,0.0002129440373179,0.0035548066185564,0.0145926021434805,5235873279.074934,5235873279.074934
26,FastK,0.0002130500293272,0.003448616256175,0.0145962333952031,5628606580.751269,5628606580.751269
40,FastK,0.0002130867108228,0.0035305966258247,0.014597489880897,5235873279.074953,5235873279.074953
40,ROCR,0.000213114687624,0.0035715999176305,0.0145984481238248,5235873279.07508,5235873279.07508
36,ROC,0.0002131281214346,0.0035219655936156,0.0145989082274877,5246700374.676043,5246700374.676043
