Mean Test Score,Standard Deviation,Parameters
-0.05226731172547407,0.0013198397767003427,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': 8}"
-0.06253945605335376,0.014585204247051727,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': 16}"
-0.04059180050132183,0.00796719607302641,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': 32}"
-0.031119659665140745,0.0009883021259202672,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': 64}"
-0.0374177651480867,0.010418120386783246,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': 128}"
-0.038849045893404544,0.012461809631480667,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': 256}"
-0.04862969067010876,0.002812789543775507,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': 8}"
-0.06260535344212924,0.016974959022857092,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': 16}"
-0.03725693778240472,0.0036421639458176086,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': 32}"
-0.03364072466240528,0.0029387412278425486,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': 64}"
-0.028997415780722208,0.0031009316638909434,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': 128}"
-0.025107608251628208,0.0012718562653595746,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': 256}"
-0.055660737540974115,0.00419951934556519,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': 8}"
-0.06228617808267182,0.009587426341006643,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': 16}"
-0.036183674053474335,0.001625642882186574,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': 32}"
-0.03779142391957799,0.010158332952877325,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': 64}"
-0.024724083167798224,0.0020479651263803182,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': 128}"
-0.027985731719043706,0.006096950549080956,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': 256}"
-0.045389668425021554,0.0007161887003567582,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': 8}"
-0.042551971400542586,0.012738510178600468,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': 16}"
-0.03229927986009532,0.002281081585632394,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': 32}"
-0.026291883895585153,0.0025010384876350406,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': 64}"
-0.03250165282905575,0.0019619430318959553,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': 128}"
-0.0339049372936366,0.0032959995467951204,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': 256}"
-0.03446043951538101,0.005364016670132744,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': 8}"
-0.030255503542481573,0.0014163043116987885,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': 16}"
-0.03463789448852202,0.003980961065236075,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': 32}"
-0.03227658706244921,0.0016547019729392463,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': 64}"
-0.028339136847096564,0.0031092529322126784,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': 128}"
-0.02972025600144927,0.006095523413517304,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': 256}"
-0.037863940401598586,0.002504848794230012,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': 8}"
-0.03280550866377705,0.0022564141421727146,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': 16}"
-0.03311737794834169,0.0063952914798993035,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': 32}"
-0.028463137921934036,0.001220337899939375,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': 64}"
-0.045284260914936925,0.000950565982211958,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': 128}"
-0.03770623400815974,0.006031744801958505,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': 256}"
-0.5872496279787045,0.527948259255545,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'Adam', 'units': 8}"
-0.4985507669867847,0.40540486126239667,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'Adam', 'units': 16}"
-0.5604758282824516,0.4210295939040897,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'Adam', 'units': 32}"
-0.07497374729505885,0.010364336312823554,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'Adam', 'units': 64}"
