Mean Test Score,Standard Deviation,Parameters
-0.03868575637401072,0.003457802778032995,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [256, 128, 64]}"
-0.03423436176748254,0.000883620589005877,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [256, 128, 32]}"
-0.04458392362249388,0.002147863226509908,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [128, 64, 32]}"
-0.045825646207799844,0.00018671525125796631,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [128, 64, 16]}"
-0.04912950256326948,0.0036982741533888412,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [64, 64, 32]}"
-0.0651791885611233,0.007925537374887808,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [64, 32, 16]}"
-0.04246053869308823,0.00010118221606209704,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [256, 128, 64]}"
-0.043541356554837096,0.0029597314007408747,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [256, 128, 32]}"
-0.045968759886021525,0.0065129221535877024,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [128, 64, 32]}"
-0.053775048259048,0.0061146290527834025,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [128, 64, 16]}"
-0.05657687872370087,0.015954135089194306,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [64, 64, 32]}"
-0.06789659236136637,0.006033035026522568,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [64, 32, 16]}"
-0.0379492205056077,0.002227274635448886,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [256, 128, 64]}"
-0.038546320864270955,0.001052340020319481,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [256, 128, 32]}"
-0.041150436815958424,0.006069729588607194,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [128, 64, 32]}"
