Mean Test Score,Standard Deviation,Parameters
-0.0342343617674825,0.0008836205890058,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [256, 128, 32]}"
-0.0379492205056077,0.0022272746354488,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [256, 128, 64]}"
-0.0385463208642709,0.0010523400203194,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [256, 128, 32]}"
-0.0386857563740107,0.0034578027780329,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [256, 128, 64]}"
-0.0411504368159584,0.0060697295886071,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [128, 64, 32]}"
-0.0424605386930882,0.000101182216062,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [256, 128, 64]}"
-0.043541356554837,0.0029597314007408,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [256, 128, 32]}"
-0.0445839236224938,0.0021478632265099,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [128, 64, 32]}"
-0.0458256462077998,0.0001867152512579,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [128, 64, 16]}"
-0.0459687598860215,0.0065129221535877,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [128, 64, 32]}"
-0.0481999289791317,0.0084022770808366,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [128, 64, 16]}"
-0.0491295025632694,0.0036982741533888,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [64, 64, 32]}"
-0.053775048259048,0.0061146290527834,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [128, 64, 16]}"
-0.054225670931821,0.0041444372611955,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [64, 64, 32]}"
-0.0547724582587588,0.0024124006689046,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [64, 64, 32]}"
-0.0565768787237008,0.0159541350891943,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [64, 64, 32]}"
-0.0608121724709187,0.0113776708093903,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [64, 32, 16]}"
-0.0610406746483651,0.0047099377940445,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': [64, 64, 32]}"
-0.061558938153851,0.0026555556307444,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [256, 128, 64]}"
-0.0617124675005409,0.0110883993748399,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [256, 128, 64]}"
-0.0633389887622064,9.307608864754512e-05,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [128, 64, 32]}"
-0.0642022412909452,0.0043704008186855,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [256, 128, 64]}"
-0.0651791885611233,0.0079255373748878,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [64, 32, 16]}"
-0.0678965923613663,0.0060330350265225,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [64, 32, 16]}"
-0.0692170306443413,0.0003223395233842,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [256, 128, 32]}"
-0.0711579908036739,0.0096242303412714,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [64, 64, 32]}"
-0.0717223477174294,0.0004216451230279,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [128, 64, 32]}"
-0.0717381530061204,0.0133482734935959,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [128, 64, 16]}"
-0.0755644669681624,0.0003465684718614,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [128, 64, 16]}"
-0.0768372600159035,0.0231520828425196,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [64, 64, 32]}"
-0.0787180952357548,0.0014733808818754,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [64, 64, 32]}"
-0.0802950857240103,0.0028960424197389,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [256, 128, 64]}"
-0.0808611213598776,0.0122684069000382,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [256, 128, 32]}"
-0.0810136408158499,0.0060802746249898,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [256, 128, 32]}"
-0.081034943467376,0.0089216411894262,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [64, 64, 32]}"
-0.0811026975604456,0.0041082596183618,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [128, 64, 16]}"
-0.083684142473213,0.014261795856868,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [64, 32, 16]}"
-0.0931650557366307,0.0127311096268303,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [128, 64, 16]}"
-0.0938429692296091,0.0211968333850244,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [128, 64, 32]}"
-0.095355287029161,0.0026818187401025,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [128, 64, 32]}"
-0.0956485684144242,0.0389795633367823,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': [64, 32, 16]}"
-0.0976224385419119,0.0179011592019945,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': [256, 128, 64]}"
-0.0983991999150276,0.043460023638264,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [128, 64, 32]}"
-0.1000739151277451,0.0336818051691221,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [64, 32, 16]}"
-0.1017378442140743,0.0105378445613296,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [64, 64, 32]}"
-0.1056429549991272,0.0049189214547637,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [128, 64, 32]}"
