Mean Test Score,Standard Deviation,Parameters
-1213304899.7583215,1213304899.7273796,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [256, 128, 64, 32]}"
-5023266667.463318,5023266667.426367,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [128, 64, 32, 16]}"
-6124800988.200902,6124800988.1704035,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [64, 32, 16, 8]}"
-3881195113.972637,3881195113.933237,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [256, 128, 64, 32]}"
-4145233829.747992,4145233829.6880865,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [128, 64, 32, 16]}"
-6930623443.667037,6930623443.615682,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [64, 32, 16, 8]}"
-15894561492.954205,15894561492.870258,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [256, 128, 64, 32]}"
-15807286480.307352,15807286480.257769,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [128, 64, 32, 16]}"
-3506524991.6961975,3506524991.6498413,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [64, 32, 16, 8]}"
-21483616214.905224,21483616214.841846,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [256, 128, 64, 32]}"
-14903091257.437805,14903091257.366491,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [128, 64, 32, 16]}"
-15155093139.191624,15155093139.157852,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [64, 32, 16, 8]}"
-113081065012.91484,113081065011.98236,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'Adam', 'units': [256, 128, 64, 32]}"
-117793220914.99258,117793220914.05354,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'Adam', 'units': [128, 64, 32, 16]}"
-118191115597.73628,118191115596.70207,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'Adam', 'units': [64, 32, 16, 8]}"
-114627397993.91165,114627397992.93686,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'Nadam', 'units': [256, 128, 64, 32]}"
-110769583016.37785,110769583015.37114,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'Nadam', 'units': [128, 64, 32, 16]}"
-118855826246.4584,118855826245.49438,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'Nadam', 'units': [64, 32, 16, 8]}"
-118454752564.9362,118454752564.0815,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'Adam', 'units': [256, 128, 64, 32]}"
-104280546744.36972,104280546743.5221,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'Adam', 'units': [128, 64, 32, 16]}"
-120286765570.73407,120286765569.85202,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'Adam', 'units': [64, 32, 16, 8]}"
-90360250954.6841,90360250953.701,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'Nadam', 'units': [256, 128, 64, 32]}"
-111748584678.82516,111748584677.93738,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'Nadam', 'units': [128, 64, 32, 16]}"
-116596947682.34409,116596947681.45734,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'Nadam', 'units': [64, 32, 16, 8]}"
-5644371674.858077,5644371674.8216305,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [256, 128, 64, 32]}"
-7676907775.711162,7676907775.649165,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [128, 64, 32, 16]}"
-13268297387.28677,13268297387.23283,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [64, 32, 16, 8]}"
-6894086201.099487,6894086201.065321,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [256, 128, 64, 32]}"
-4722119326.611811,4722119326.55632,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [128, 64, 32, 16]}"
-1538842527.6364071,1538842527.5905735,"{'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [64, 32, 16, 8]}"
-12861654209.95548,12861654209.87143,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [256, 128, 64, 32]}"
-16568506733.260422,16568506733.198124,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [128, 64, 32, 16]}"
-8223908622.298101,8223908622.255032,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [64, 32, 16, 8]}"
-16115590629.63662,16115590629.522068,"{'batch_size': 256, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [256, 128, 64, 32]}"
