Actual High Prices,Predicted High Prices,Date
452.5,451.42554,2025-01-03 18:59:00
452.37,451.47458,2025-01-03 18:58:00
452.32,451.40237,2025-01-03 18:57:00
452.46,451.59402,2025-01-03 18:56:00
452.45,451.5853,2025-01-03 18:55:00
452.63,451.74332,2025-01-03 18:54:00
452.68,451.69998,2025-01-03 18:53:00
452.69,451.7879,2025-01-03 18:52:00
452.59,451.67438,2025-01-03 18:51:00
452.6545,451.67386,2025-01-03 18:50:00
452.58,451.61478,2025-01-03 18:49:00
452.54999999999995,451.60556,2025-01-03 18:48:00
452.5,451.49026,2025-01-03 18:47:00
452.51,451.46304,2025-01-03 18:46:00
452.4987,451.38776,2025-01-03 18:45:00
452.4012,451.49124,2025-01-03 18:44:00
452.445,451.5178,2025-01-03 18:43:00
452.69,451.60333,2025-01-03 18:42:00
452.5913,451.57233,2025-01-03 18:41:00
452.45,451.55035,2025-01-03 18:40:00
452.27,451.48862,2025-01-03 18:39:00
452.45,451.49362,2025-01-03 18:38:00
452.45,451.58145,2025-01-03 18:37:00
452.5,451.6915,2025-01-03 18:36:00
452.7191,451.77414,2025-01-03 18:35:00
452.9039,451.9173,2025-01-03 18:34:00
452.84,451.93668,2025-01-03 18:33:00
452.6399,451.9949,2025-01-03 18:32:00
452.77,451.9563,2025-01-03 18:31:00
452.74,452.08682,2025-01-03 18:30:00
452.97,452.14594,2025-01-03 18:29:00
453.23,452.316,2025-01-03 18:28:00
453.26,452.34802,2025-01-03 18:27:00
453.46,452.43332,2025-01-03 18:26:00
453.57,452.4378,2025-01-03 18:25:00
453.44,452.4485,2025-01-03 18:24:00
453.37,452.40692,2025-01-03 18:23:00
453.48,452.35107,2025-01-03 18:22:00
453.54,452.31216,2025-01-03 18:21:00
453.55,452.266,2025-01-03 18:20:00
453.57,452.21783,2025-01-03 18:19:00
453.41,452.15823,2025-01-03 18:18:00
453.23,452.1403,2025-01-03 18:17:00
453.18999999999994,452.11563,2025-01-03 18:16:00
453.025,452.14664,2025-01-03 18:15:00
453.22,452.22488,2025-01-03 18:14:00
453.23,452.35815,2025-01-03 18:13:00
453.28,452.52158,2025-01-03 18:12:00
453.43,452.5784,2025-01-03 18:11:00
453.20000000000005,452.66245,2025-01-03 18:10:00
453.369,452.64087,2025-01-03 18:09:00
453.39,452.71906,2025-01-03 18:08:00
453.35,452.65518,2025-01-03 18:07:00
453.25,452.69595,2025-01-03 18:06:00
453.376,452.5849,2025-01-03 18:05:00
453.5065,452.68243,2025-01-03 18:04:00
453.56,452.66318,2025-01-03 18:03:00
453.71,452.69803,2025-01-03 18:02:00
453.72,452.68307,2025-01-03 18:01:00
453.63,452.6249,2025-01-03 18:00:00
453.6069,452.55725,2025-01-03 17:59:00
